feed_id,player_id,first_name,last_name,team_abbrev,pos,pos2,projected_points,points,user_team_id,picked,position
290847,620,Dustin,Martin,RIC,FWD,MID,NA,0,9806,TRUE,FWD
291975,323,Jarrod,Witts,GCS,RUC,NA,NA,0,182,FALSE,RUC
295136,736,Caleb,Daniel,WBD,DEF,NA,NA,0,9867,TRUE,DEF
293716,67,Jarryd,Lyons,BRL,MID,NA,NA,0,9806,TRUE,MID
294307,5,Brad,Crouch,ADE,MID,NA,NA,0,33301,TRUE,MID
291800,366,Tom,Stewart,GEE,DEF,NA,NA,0,9806,FALSE,DEF
293846,676,Sebastian,Ross,STK,MID,NA,NA,0,NA,NA,NA
291783,219,Dylan,Shiel,ESS,MID,NA,NA,0,9867,TRUE,MID
261299,108,Matthew,Kreuzer,CAR,RUC,NA,NA,0,NA,NA,NA
290307,715,Dane,Rampe,SYD,DEF,NA,NA,0,NA,NA,NA
1002222,460,James,Worpel,HAW,MID,NA,NA,0,186,TRUE,MID
293222,21,Rory,Laird,ADE,DEF,NA,NA,0,5524,TRUE,DEF
271072,80,Daniel,Rich,BRL,DEF,NA,NA,0,189,TRUE,DEF
291776,136,Taylor,Adams,COL,MID,NA,NA,0,9856,TRUE,MID
297907,116,Nic,Newman,CAR,DEF,NA,NA,0,NA,NA,NA
998659,261,Luke,Ryan,FRE,DEF,NA,NA,0,186,TRUE,DEF
993903,392,Jacob,Hopper,GWS,MID,NA,NA,0,33301,TRUE,MID
220001,325,Gary,Ablett,GEE,FWD,NA,NA,0,NA,NA,NA
297523,30,Reilly,O'Brien,ADE,RUC,NA,NA,0,5524,TRUE,RUC
294557,746,Lachie,Hunter,WBD,MID,NA,NA,0,5524,FALSE,MID
297899,471,James,Harmes,MEL,MID,NA,NA,0,NA,NA,NA
296296,807,Dom,Sheed,WCE,MID,NA,NA,0,189,TRUE,MID
296205,680,Jack,Steele,STK,MID,NA,NA,0,186,FALSE,MID
260227,522,Shaun,Higgins,NTH,MID,NA,NA,0,9856,TRUE,MID
291201,430,Ricky,Henderson,HAW,MID,NA,NA,0,NA,NA,NA
290629,197,Dyson,Heppell,ESS,MID,NA,NA,0,9806,TRUE,MID
290311,82,Mitch,Robinson,BRL,MID,NA,NA,0,189,TRUE,MID
280965,173,Steele,Sidebottom,COL,MID,NA,NA,0,NA,NA,NA
280109,413,Callan,Ward,GWS,MID,NA,NA,0,NA,NA,NA
1000978,72,Hugh,McCluggage,BRL,MID,NA,NA,0,9867,TRUE,MID
298539,698,Isaac,Heeney,SYD,FWD,MID,NA,0,NA,NA,NA
295344,387,Toby,Greene,GWS,FWD,NA,NA,0,33301,TRUE,FWD
297566,455,James,Sicily,HAW,DEF,NA,NA,0,NA,NA,NA
296351,643,Jack,Billings,STK,MID,NA,NA,0,33301,TRUE,MID
293479,59,Cameron,Ellis-Yolmen,BRL,MID,NA,NA,0,NA,NA,NA
294429,653,Luke,Dunstan,STK,MID,NA,NA,0,NA,NA,NA
293845,377,Jeremy,Cameron,GWS,FWD,NA,NA,0,5524,TRUE,FWD
261323,439,Ben,McEvoy,HAW,RUC,NA,NA,0,5524,FALSE,RUC
280763,69,Stefan,Martin,BRL,RUC,NA,NA,0,NA,NA,NA
294674,637,Nick,Vlastuin,RIC,DEF,NA,NA,0,9856,TRUE,DEF
270919,587,Tom,Rockliff,PTA,MID,NA,NA,0,33301,TRUE,MID
280944,548,Jack,Ziebell,NTH,FWD,MID,NA,0,NA,NA,NA
270146,97,Ed,Curnow,CAR,MID,NA,NA,0,5524,TRUE,MID
250105,115,Marc,Murphy,CAR,MID,NA,NA,0,9867,FALSE,MID
296359,495,Christian,Salem,MEL,DEF,NA,NA,0,9867,TRUE,DEF
294613,446,Jaeger,O'Meara,HAW,MID,NA,NA,0,5524,TRUE,MID
281373,802,Jack,Redden,WCE,MID,NA,NA,0,189,TRUE,MID
994295,574,Dan,Houston,PTA,DEF,MID,NA,0,186,FALSE,DEF
240052,256,David,Mundy,FRE,MID,NA,NA,0,9856,TRUE,MID
293871,146,Jack,Crisp,COL,DEF,NA,NA,0,5524,TRUE,DEF
291748,37,Brodie,Smith,ADE,DEF,NA,NA,0,182,TRUE,DEF
298524,322,Lachie,Weller,GCS,DEF,NA,NA,0,189,TRUE,DEF
294318,593,Ollie,Wines,PTA,MID,NA,NA,0,182,FALSE,MID
290832,319,David,Swallow,GCS,MID,NA,NA,0,5524,TRUE,MID
290032,617,Kane,Lambert,RIC,FWD,NA,NA,0,189,TRUE,FWD
294036,699,George,Hewett,SYD,MID,NA,NA,0,NA,NA,NA
993799,289,Brayden,Fiorini,GCS,MID,NA,NA,0,NA,NA,NA
290738,534,Jared,Polec,NTH,MID,NA,NA,0,NA,NA,NA
294859,796,Jeremy,McGovern,WCE,DEF,NA,NA,0,9856,TRUE,DEF
295265,389,Nick,Haynes,GWS,DEF,NA,NA,0,9856,TRUE,DEF
994185,148,Jordan,De Goey,COL,FWD,NA,NA,0,NA,NA,NA
991930,559,Darcy,Byrne-Jones,PTA,DEF,NA,NA,0,NA,NA,NA
990740,251,Rory,Lobb,FRE,RUC,NA,NA,0,NA,NA,NA
1006094,133,Sam,Walsh,CAR,MID,NA,NA,0,9856,TRUE,MID
280737,454,Liam,Shiels,HAW,MID,NA,NA,0,NA,NA,NA
293713,286,Brandon,Ellis,GCS,MID,NA,NA,0,NA,NA,NA
