"id","first_name","last_name","team.abbrev","positions.position","positions.position.1","player_stats.avg","median_score","user_team_id","round","pick","current_team_id","DEF","MID","RUC","FWD","score"
"572","Hamish","Hartlett","PTA","DEF","",83.25,84.5,"9806",22,175,"186",-0.665751295573269,,,,-0.6658
"749","Alex","Keath","WBD","DEF","",67.5,74,"9867",22,176,,-1.60170290775996,,,,-1.6017
"411","Tim","Taranto","GWS","MID","",96,96,,,,"5524",,-0.699120415900083,,,-0.6991
"108","Matthew","Kreuzer","CAR","RUC","",33,33,,,,,,,-3.60400206444548,,-3.604
"430","Ricky","Henderson","HAW","MID","",70.5714,69,,,,,,-3.19257775062731,,,-3.1926
"439","Ben","McEvoy","HAW","RUC","",77.375,79.5,,,,"9806",,,-1.36079721005554,,-1.3608
"593","Ollie","Wines","PTA","MID","",89.1667,92.5,,,,"182",,-1.02234636669806,,,-1.0223
"534","Jared","Polec","NTH","MID","",92,87.5,,,,"5524",,-1.48409772498088,,,-1.4841
"251","Rory","Lobb","FRE","RUC","",76.125,70,,,,,,,-1.81908637385564,,-1.8191
"454","Liam","Shiels","HAW","MID","",79.5,85,,,,,,-1.71497340412229,,,-1.715
"286","Brandon","Ellis","GCS","MID","",83.4286,79,,,,,,-2.26907503406167,,,-2.2691
"506","Jed","Anderson","NTH","MID","",90.5,85.5,,,,"182",,-1.66879826829401,,,-1.6688
"363","Rhys","Stanley","GEE","RUC","",96,96,,,,,,,-0.564821293981695,,-0.5648
"481","Ed","Langdon","MEL","MID","",86.5714,82,,,,"9867",,-1.99202421909198,,,-1.992
"660","Zak","Jones","STK","MID","",89.2857,90,,,,"33301",,-1.25322204583947,,,-1.2532
"184","Tom","Bellchambers","ESS","RUC","",70.25,71.5,,,,,,,-1.74672492693983,,-1.7467
"678","Shane","Savage","STK","DEF","",0,0,,,,,-8.19793331745661,,,,-8.1979
"306","Anthony","Miles","GCS","MID","",0,0,,,,,,-9.56474649493023,,,-9.5647
"516","Trent","Dumont","NTH","MID","",101.5,97.5,,,,"9856",,-0.560595008415237,,,-0.5606
"456","Isaac","Smith","HAW","MID","",81.375,75,,,,"5524",,-2.63847612068793,,,-2.6385
"166","Tom","Phillips","COL","MID","",71.75,70.5,,,,,,-3.05405234314247,,,-3.0541
"328","Mark","Blicavs","GEE","DEF","",93.375,92,,,,"9856",0.00278557027436514,,,,0.0028
"740","Tim","English","WBD","RUC","",112.875,112.5,,,,"189",,,0.231154622092153,,0.2312
"537","Robbie","Tarrant","NTH","DEF","",86,93,,,,"9856",0.0919238190540496,,,,0.0919
"751","Tom","Liberatore","WBD","MID","",95.6667,102,,,,"9856",,-0.145018785960698,,,-0.145
"384","Jeremy","Finlayson","GWS","FWD","",64.625,61.5,,,,,,,,-2.58731116942391,-2.5873
"401","Shane","Mumford","GWS","RUC","",71.25,79,,,,,,,-1.38491769236081,,-1.3849
"526","Jamie","Macmillan","NTH","DEF","",68.1429,72,,,,,-1.77997940531932,,,,-1.78
"138","Dayne","Beams","COL","MID","",0,0,,,,,,-9.56474649493023,,,-9.5647
"351","Sam","Menegola","GEE","MID","",97.625,110.5,,,,"182",,0.639958523120096,,,0.64
"199","Cale","Hooker","ESS","DEF","",80,80,,,,,-1.06687341508185,,,,-1.0669
"689","Harry","Cunningham","SYD","DEF","",77,70.5,,,,,-1.91368677848885,,,,-1.9137
"159","Brayden","Maynard","COL","DEF","",103.875,104.5,,,,"182",1.11701368002042,,,,1.117
"426","Jack","Gunston","HAW","FWD","",71.875,72,,,,"189",,,,-1.60166881916718,-1.6017
"54","Charlie","Cameron","BRL","FWD","",82.25,86,,,,"189",,,,-0.287479018824879,-0.2875
"509","Ben","Brown","NTH","FWD","",54.5,55,,,,,,,,-3.19747071958284,-3.1975
"533","Jasper","Pittard","NTH","DEF","",69.25,70,,,,,-1.95825590287869,,,,-1.9583
"382","Phil","Davis","GWS","DEF","",53.75,46.5,,,,,-4.05300474920128,,,,-4.053
"606","Trent","Cotchin","RIC","MID","",93,94,,,,"182",,-0.883820959213211,,,-0.8838
"428","Blake","Hardwick","HAW","DEF","",71,69,,,,,-2.04739415165838,,,,-2.0474
"225","David","Zaharakis","ESS","MID","",62.2857,63,,,,,,-3.7466793805667,,,-3.7467
"266","Matt","Taberner","FRE","FWD","",69.75,69.5,,,,,,,,-1.83634556922831,-1.8363
"716","Sam","Reid","SYD","FWD","",79,79,,,,,,,,-0.944573918996032,-0.9446
"788","Tom","Hickey","WCE","RUC","",33,33,,,,,,,-3.60400206444548,,-3.604
"777","Tom","Barrass","WCE","DEF","",77.625,75.5,,,,"9856",-1.46799553459043,,,,-1.468
"683","Aliir","Aliir","SYD","DEF","",62.7143,70,,,,,-1.95825590287869,,,,-1.9583
"679","Jack","Sinclair","STK","FWD","MID",68,68,,,,,,-3.28492802228388,,-1.97715161926499,-1.9772
"294","Pearce","Hanley","GCS","DEF","",60.1429,66,,,,,-2.31480889799743,,,,-2.3148
"295","Jarrod","Harbrow","GCS","DEF","",61.5714,68,,,,,-2.13653240043806,,,,-2.1365
"753","Sam","Lloyd","WBD","FWD","",36.5,35.5,,,,,,,,-5.02794937005962,-5.0279
"613","Jack","Graham","RIC","MID","",68,74.5,,,,"186",,-2.68465125651621,,,-2.6847
"550","Karl","Amon","PTA","MID","",71.5,78.5,,,,,,-2.31525016988995,,,-2.3153
"416","Luke","Breust","HAW","FWD","",81.25,74,,,,,,,,-1.41392741911828,-1.4139
"575","Tom","Jonas","PTA","DEF","",74.25,59,,,,"182",-2.93877663945522,,,,-2.9388
"417","Shaun","Burgoyne","HAW","DEF","",68.4286,58,,,,,-3.02791488823491,,,,-3.0279
"341","Cameron","Guthrie","GEE","MID","",95.75,92.5,,,,"9806",,-1.02234636669806,,,-1.0223
"391","Harry","Himmelberg","GWS","FWD","",63.5,59.5,,,,,,,,-2.77505256947281,-2.7751
"782","Jamie","Cripps","WCE","FWD","",62.75,63,,,,,,,,-2.44650511938724,-2.4465
"739","Taylor","Duryea","WBD","DEF","",0,0,,,,,-8.19793331745661,,,,-8.1979
"277","Jack","Bowes","GCS","MID","",89.875,91.5,,,,"9856",,-1.11469663835462,,,-1.1147
"634","Ivan","Soldo","RIC","RUC","",88.8333,99,,,,,,,-0.420098400150086,,-0.4201
"403","Harry","Perryman","GWS","MID","",94.75,75.5,,,,"9856",,-2.59230098485965,,,-2.5923
"1","Rory","Atkins","ADE","MID","",49.3333,54,,,,,,-4.57783182547577,,,-4.5778
"206","Anthony","McDonald-Tipungwuti","ESS","FWD","",68.5714,67,,,,,,,,-2.07102231928944,-2.071
"383","Matt","de Boer","GWS","MID","",62.75,64.5,,,,,,-3.60815397308185,,,-3.6082
"734","Hayden","Crozier","WBD","DEF","",88.1429,107,,,,"189",1.33985930196963,,,,1.3399
"160","Chris","Mayne","COL","MID","",74.125,76.5,,,,,,-2.49995071320308,,,-2.5
"19","Jake","Kelly","ADE","DEF","",54.4286,56,,,,,-3.20619138579428,,,,-3.2062
"162","Darcy","Moore","COL","DEF","",77.375,75,,,,,-1.51256465898027,,,,-1.5126
"156","Tom","Langdon","COL","DEF","",0,0,,,,,-8.19793331745661,,,,-8.1979
"625","Toby","Nankervis","RIC","RUC","",99,86,,,,,,,-1.04723094008706,,-1.0472
"507","Shaun","Atley","NTH","DEF","",74.25,79,,,,,-1.15601166386153,,,,-1.156
