feed_id,player_id,first_name,last_name,team_abbrev,pos,pos2,projected_points,points,user_team_id,picked,position,sc_team,sc_coach,round,year
1004870,342,Zach,Guthrie,GEE,DEF,,31,,,,,,,8,2020
1006103,376,Jye,Caldwell,GWS,MID,,62,62,,,,,,8,2020
1004848,722,Dylan,Stephens,SYD,MID,,48,46,,,,,,8,2020
1004034,226,Brandon,Zerk-Thatcher,ESS,DEF,,54,,,,,,,8,2020
998569,819,Callum,Moore,CAR,FWD,,55,19,,,,,,8,2020
1009201,25,Fischer,Mcasey,ADE,DEF,,44,31,,,,,,8,2020
298358,619,Oleg,Markov,RIC,MID,,54,,,,,,,8,2020
999391,498,Tom,Sparrow,MEL,FWD,,48,,,,,,,8,2020
1009256,273,Hayden,Young,FRE,DEF,,52,,,,,,,8,2020
1002328,296,Jacob,Heron,GCS,FWD,,37,,,,,,,8,2020
992752,84,Archie,Smith,BRL,RUC,,43,24,,,,,,8,2020
998511,315,Josh,Schoenfeld,GCS,FWD,,49,,,,,,,8,2020
998268,46,Jacob,Allison,BRL,MID,,47,,,,,,,8,2020
1009420,263,Caleb,Serong,FRE,MID,,59,118,,,,,,8,2020
1005988,247,Liam,Henry,FRE,MID,FWD,34,,,,,,,8,2020
1002372,241,Hugh,Dixon,FRE,FWD,,45,,,,,,,8,2020
994047,57,Cedric,Cox,BRL,FWD,,43,,,,,,,8,2020
1009528,386,Tom,Green,GWS,MID,,62,,,,,,,8,2020
991773,10,Billy,Frampton,ADE,FWD,,49,,,,,,,8,2020
1009260,290,Sam,Flanders,GCS,MID,FWD,32,,,,,,,8,2020
1008541,480,Kysaiah,Kropinyeri-Pickett,MEL,FWD,,53,22,,,,,,8,2020
1006303,744,Fergus,Greene,WBD,FWD,,41,,,,,,,8,2020
290326,58,Matt,Eagles,BRL,DEF,,41,,,,,,,8,2020
1005084,544,Will,Walker,NTH,FWD,,41,,,,,,,8,2020
1008550,420,Will,Day,HAW,DEF,,77,63,,,,,,8,2020
993796,4,Ben,Crocker,ADE,FWD,,41,,,,,,,8,2020
1000905,531,Tom,Murphy,NTH,DEF,,39,,,,,,,8,2020
1002143,530,Ben,McKay,NTH,DEF,,48,70,,,,,,8,2020
1009191,552,Miles,Bergman,PTA,FWD,,29,,,,,,,8,2020
298336,332,Nakia,Cockatoo,GEE,MID,FWD,47,,,,,,,8,2020
1002401,87,Brandon,Starcevich,BRL,DEF,MID,55,48,,,,,,8,2020
998167,135,Tom,Williamson,CAR,DEF,,47,28,,,,,,8,2020
1011803,768,Cody,Weightman,WBD,FWD,,63,14,,,,,,8,2020
998791,826,Jamaine,Jones,WCE,FWD,,38,,,,,,,8,2020
1008083,394,Connor,Idun,GWS,DEF,,33,,,,,,,8,2020
997770,558,Wylie,Buzza,PTA,FWD,,50,,,,,,,8,2020
1006151,234,Jason,Carter,FRE,DEF,,36,,,,,,,8,2020
1004948,364,Cooper,Stephens,GEE,MID,,28,,,,,,,8,2020
998100,126,Cameron,Polson,CAR,FWD,,38,,,,,,,8,2020
997501,742,Ryan,Gardner,WBD,FWD,,34,,,,,,,8,2020
1009241,106,Brodie,Kemp,CAR,MID,,27,,,,,,,8,2020
998327,521,Kyron,Hayden,NTH,MID,,45,107,,,,,,8,2020
1002300,778,Jarrod,Brander,WCE,DEF,FWD,55,,,,,,,8,2020
1010174,569,Mitchell,Georgiades,PTA,FWD,,78,86,,,,,,8,2020
298316,103,Hugh,Goddard,CAR,DEF,,29,,,,,,,8,2020
1002291,685,James,Bell,SYD,FWD,MID,27,54,,,,,,8,2020
998225,409,Zach,Sproule,GWS,FWD,,26,,,,,,,8,2020
1009229,336,Sam,De Koning,GEE,DEF,,25,,,,,,,8,2020
1002938,104,Josh,Honey,CAR,MID,FWD,25,,,,,,,8,2020
1004995,3,Jordon,Butts,ADE,DEF,,25,,,,,,,8,2020
298417,7,Ben,Davis,ADE,FWD,,37,,,,,,,8,2020
1008159,14,William,Hamill,ADE,DEF,,39,96,,,,,,8,2020
298470,24,Shane,McAdam,ADE,FWD,,47,68,,,,,,8,2020
1008185,26,Ned,McHenry,ADE,MID,,39,,,,,,,8,2020
997206,27,Andrew,McPherson,ADE,DEF,,64,90,,,,,,8,2020
1006136,35,Lachlan,Sholl,ADE,DEF,,25,,,,,,,8,2020
1008752,39,Kieran,Strachan,ADE,RUC,FWD,25,,,,,,,8,2020
1002351,50,Connor,Ballenden,BRL,FWD,,25,,,,,,,8,2020
1006100,52,Thomas,Berry,BRL,FWD,,47,29,,,,,,8,2020
1013532,60,Thomas,Fullarton,BRL,FWD,,25,,,,,,,8,2020
1006150,64,Tom,Joyce,BRL,FWD,MID,25,,,,,,,8,2020
1013978,68,James,Madden,BRL,DEF,FWD,25,,,,,,,8,2020
1006085,73,Connor,McFadyen,BRL,FWD,,25,,,,,,,8,2020
1002347,77,Jack,Payne,BRL,DEF,,25,,,,,,,8,2020
1006033,86,Ely,Smith,BRL,FWD,MID,25,,,,,,,8,2020
1002244,89,Toby,Wooller,BRL,FWD,MID,25,,,,,,,8,2020
1008154,93,Matthew,Cottrell,CAR,DEF,,25,,,,,,,8,2020
1004912,98,Tom,De Koning,CAR,RUC,,40,,,,,,,8,2020
998226,110,Harrison,Macreadie,CAR,DEF,,30,,,,,,,8,2020
1011924,119,Finbar,O'Dwyer,CAR,FWD,,25,,,,,,,8,2020
1013973,120,Matthew,Owies,CAR,FWD,,25,,,,,,,8,2020
1011949,129,Ben,Silvagni,CAR,DEF,,25,,,,,,,8,2020
1008288,140,Atu,Bosenavulagi,COL,FWD,,43,12,,,,,,8,2020
1008171,143,Tyler,Brown,COL,MID,,52,,,,,,,8,2020
990291,144,Darcy,Cameron,COL,RUC,FWD,42,92,,,,,,8,2020
1013974,154,Mark,Keane,COL,DEF,,25,,,,,,,8,2020
1008285,155,Will,Kelly,COL,FWD,,36,,,,,,,8,2020
1000960,157,Max,Lynch,COL,RUC,,25,,,,,,,8,2020
1005107,163,Nathan,Murphy,COL,DEF,,39,,,,,,,8,2020
1013975,177,Anton,Tohill,COL,FWD,,25,,,,,,,8,2020
1005577,190,Sam,Draper,ESS,RUC,,25,,,,,,,8,2020
1011864,194,Noah,Gown,ESS,FWD,,25,,,,,,,8,2020
1006097,212,Irving,Mosquito,ESS,FWD,,25,,,,,,,8,2020
1000980,255,Lloyd,Meek,FRE,RUC,,25,,,,,,,8,2020
1005831,258,Dillon,O'Reilly,FRE,DEF,,25,,,,,,,8,2020
1013611,264,Sam,Sturt,FRE,FWD,,62,,,,,,,8,2020
1004850,269,Luke,Valente,FRE,MID,,25,,,,,,,8,2020
1004437,271,Tobe,Watson,FRE,DEF,,25,49,,,,,,8,2020
1006110,291,Sam,Fletcher,GCS,MID,,25,,,,,,,8,2020
1000044,305,Jez,McLennan,GCS,DEF,,25,,,,,,,8,2020
