feed_id,player_id,first_name,last_name,team_abbrev,pos,pos2,points,user_team_id,picked,position,round,year,teamname,coach
296371,230,Brett,Bewley,FRE,FWD,,52,,,,2,2020,,
1002235,79,Cameron,Rayner,BRL,FWD,,42,,,,2,2020,,
298144,710,Sam,Naismith,SYD,RUC,,,,,,2,2020,,
1005530,638,Ryan,Abbott,STK,RUC,,,,,,2,2020,,
295156,687,Kaiden,Brand,SYD,DEF,,47,,,,2,2020,,
297990,500,Aaron,vandenBerg,MEL,FWD,MID,,,,,2,2020,,
298287,542,Ed,Vickers-Willis,NTH,DEF,,,,,,2,2020,,
1001396,380,Isaac,Cumming,GWS,DEF,,47,,,,2,2020,,
296439,109,Darcy,Lang,CAR,FWD,,47,,,,2,2020,,
998218,612,Ryan,Garthwaite,RIC,DEF,,,,,,2,2020,,
1004880,718,Ben,Ronke,SYD,FWD,,,,,,2,2020,,
281280,476,Neville,Jetta,MEL,DEF,,60,,,,2,2020,,
1002259,118,Lochie,O'Brien,CAR,MID,,,,,,2,2020,,
1003029,174,Brayden,Sier,COL,MID,,,,,,2,2020,,
261214,806,Will,Schofield,WCE,DEF,,,,,,2,2020,,
1008312,132,Liam,Stocker,CAR,DEF,,,,,,2,2020,,
293035,141,Tim,Broomhead,COL,FWD,MID,,,,,2,2020,,
1003547,423,Conor,Glass,HAW,DEF,,,,,,2,2020,,
290228,15,Kyle,Hartigan,ADE,DEF,,,,,,2,2020,,
1002253,566,Kane,Farrell,PTA,FWD,,,,,,2,2020,,
298290,124,Marc,Pittonet,CAR,RUC,,134,,,,2,2020,,
1002231,624,Patrick,Naish,RIC,MID,,,,,,2,2020,,
280471,457,Ben,Stratton,HAW,DEF,,35,,,,2,2020,,
1010841,158,Jack,Madgen,COL,DEF,,55,,,,2,2020,,
1006058,535,Bailey,Scott,NTH,MID,FWD,48,,,,2,2020,,
992374,645,Dan,Butler,STK,FWD,,115,,,,2,2020,,
1002282,497,Charlie,Spargo,MEL,FWD,,,,,,2,2020,,
998414,812,Daniel,Venables,WCE,FWD,,,,,,2,2020,,
1006127,769,Rhylee,West,WBD,FWD,,,,,,2,2020,,
1007238,410,Jake,Stein,GWS,DEF,,,,,,2,2020,,
250548,820,Lynden,Dunn,COL,DEF,,,,,,2,2020,,
